TokenID,annotation_KD,annotation_BB,annotation
42002037,0,0,Y
42002039,0,0,Y
42002048a,0,0,Y
42002048b,0,0,Y
42003019,0,0,Y
42004006,0,1,N
42004013,0,0,Y
42004018,0,0,Y
42004034,0,0,Y
42004035,0,1,N
42005002,0,1,N
42005026,1,0,N
42006024,0,0,Y
42007016a,0,1,N
42007016b,1,0,N
42007016c,1,0,N
42007016d,0,0,Y
42007022a,0,0,Y
42007022b,1,1,Y
42007045,0,0,Y
42008002a,0,0,Y
42008002b,0,0,Y
42008012,1,1,Y
42008027,0,0,Y
42008030,0,1,N
42008035,0,0,Y
42008039a,1,0,N
42008039b,1,0,N
42008048,0,1,N
42008056,0,0,Y
42009008a,1,1,Y
42009008b,0,0,Y
42009010,1,0,N
42009019,0,1,N
42009036,1,0,N
42010013a,0,0,Y
42010013b,0,0,Y
42010019,0,0,Y
42010022,0,0,Y
42010042,0,0,Y
42011020,0,1,N
42011042,1,0,N
42012003a,0,0,Y
42012003b,0,0,Y
42012005,0,1,N
42012039a,0,0,Y
42012039b,0,0,Y
42012039c,0,0,Y
42012051,0,0,Y
42013007a,0,0,Y
42013007c,1,1,Y
42013016,0,0,Y
42013034,1,0,N
42014022,0,0,Y
42015018,1,0,N
42015021,1,0,N
42015024,0,1,N
42015027,0,1,N
42015029a,0,0,Y
42015029b,1,0,N
42015029c,0,0,Y
42015032,0,1,N
42016011,0,0,Y
42016012,0,0,Y
42017010a,1,0,N
42017010b,0,0,Y
42017010c,1,0,N
42017010d,1,0,N
42017019,0,1,N
42018021,1,0,N
42018028,0,1,N
42018029,0,1,N
42018042,0,1,N
42019008,1,0,N
42019009,0,0,Y
42019015,0,0,Y
42019016,0,0,Y
42019018,0,1,N
42019030,1,0,N
42019037,1,0,N
42019046,0,0,Y
42020039,1,0,N
42022015,1,0,N
42022017,0,0,Y
42022022,0,0,Y
42022028,0,0,Y
42022032,0,1,N
42022071,1,1,Y
42023008,1,0,N
42023014,1,0,N
42023015,0,0,Y
42023022a,1,0,N
42023022b,1,1,Y
42023041,1,0,N
42024001,0,0,Y
42024004,0,1,N
42024006,0,1,N
42024018,0,0,Y
42024023,1,0,N
42024025,0,0,Y
42024030,0,1,N
42024034,0,0,Y
43001018,1,0,N
43001034a,1,0,N
43001034b,1,0,N
43001041,1,1,Y
43001045,1,1,Y
43002004,0,1,N
43002010a,1,0,N
43002010b,0,0,Y
43003011,1,0,N
43003013,1,1,Y
43003018a,0,0,Y
43003018b,1,0,N
43003019,0,0,Y
43003024,0,1,N
43003028,0,0,Y
43003032a,1,0,N
43003032b,1,1,Y
43003034,0,0,Y
43003035,0,0,Y
43004001,1,1,Y
43004010,1,0,N
43004018,1,0,N
43004029,1,0,N
43004039,1,0,N
43005006,0,0,Y
43005022,0,0,Y
43005024,0,1,N
43005033,1,0,N
43005036,0,0,Y
43005037a,1,1,Y
43005037b,1,1,Y
43005038,0,0,Y
43005045,0,0,Y
43006013,1,0,N
43006017,0,1,N
43006027,0,0,Y
43006029,0,0,Y
43006036,1,0,N
43006039,0,0,Y
43006045,0,0,Y
43006046a,1,0,N
43006046b,1,0,N
43007008,0,0,Y
43007015,1,0,N
43007030,0,1,N
43007031,1,0,N
43007046,1,0,N
43007051,1,0,N
43008020,0,1,N
43008025,0,0,Y
43008028,0,0,Y
43008029,1,0,N
43008033,1,0,N
43008038a,1,0,N
43008038b,1,1,Y
43008042,0,1,N
43008057,1,0,N
43009018a,0,0,Y
43009018b,0,1,N
43009022,0,0,Y
43010018,0,1,N
43010029,0,0,Y
43010032,1,0,N
43011011,0,1,N
43011012,0,1,N
43011017,0,0,Y
43011021a,0,0,Y
43011021b,0,1,N
43011032a,0,0,Y
43011032b,0,1,N
43011034,1,0,N
43011037,0,0,Y
43011039a,0,0,Y
43011039b,0,0,Y
43011046,0,0,Y
43011057,0,0,Y
43012016,0,0,Y
