TokenID,ASTrns_KD,ASTrns_full_ver,ASTrns,ASUncc_KD,ASUncc_full_ver,ASUncc,ASUnrg_KD,ASUnrg_full_ver,ASUnrg,AktAcc_KD,AktAcc_full_ver,AktAcc,AktAch_KD,AktAch_full_ver,AktAch,AktAct_KD,AktAct_full_ver,AktAct,AktState_KD,AktState_full_ver,AktState,ClCntfcl_KD,ClCntfcl_full_ver,ClCntfcl,ClNegPol_KD,ClNegPol_full_ver,ClNegPol,DtExp_KD,DtExp_full_ver,DtExp,DtRes_KD,DtRes_full_ver,DtRes,DtUniv_KD,DtUniv_full_ver,DtUniv,TLAspPfv_KD,TLAspPfv_full_ver,TLAspPfv,TLMdIrr_KD,TLMdIrr_full_ver,TLMdIrr,TLTS_KD,TLTS_full_ver,TLTS,VcPass_KD,VcPass_full_ver,VcPass
40006016,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40007028,1,1,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y
40008010,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,1,N,1,0,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40008029,0,0,Y,1,1,Y,0,0,Y,0,1,N,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,1,1,Y,0,1,N,0,0,Y,0,0,Y
40009008,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y
40009016,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,1,N,0,0,Y,0,1,N,0,0,Y,1,1,Y,0,0,Y,1,0,N,0,0,Y,1,0,N,0,0,Y,0,0,Y,1,1,Y
40009022,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40009033,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y
40010023,0,1,N,1,0,N,0,0,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,1,N,0,1,N,0,0,Y,0,0,Y
40011012a,0,1,N,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y
40011012b,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,1,1,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40011021a,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,1,0,N,1,1,Y,1,1,Y,1,1,Y
40011021b,0,0,Y,0,0,Y,1,1,Y,0,1,N,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,1,1,Y,1,1,Y,0,1,N,0,0,Y
40011023a,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,1,N,1,0,N,0,0,Y,0,0,Y,1,1,Y,1,1,Y,1,1,Y,1,1,Y
40011023b,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,1,N,0,0,Y
40011025a,1,1,Y,0,0,Y,0,0,Y,1,0,N,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40011025b,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40011027,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y
40012007a,0,1,N,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,1,1,Y,0,0,Y
40012007b,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,1,1,Y,0,0,Y,1,0,N,0,0,Y,1,1,Y,1,1,Y,0,1,N,0,1,N
40012018,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40012028,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,1,N,0,0,Y,0,0,Y
40013051,0,0,Y,1,0,N,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40013052,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,0,N
40014004,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,1,N,0,0,Y
40015006,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40015013,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,1,N,1,0,N,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y
40015032,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y
40017009,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,1,1,Y,0,1,N,0,0,Y,0,0,Y
40017012,0,0,Y,1,1,Y,0,0,Y,1,1,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40018012,0,0,Y,1,1,Y,1,1,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y
40018013a,1,0,N,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,1,N,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,1,1,Y,1,1,Y,0,1,N,1,0,N
40018013b,0,0,Y,1,0,N,0,0,Y,1,1,Y,0,0,Y,1,1,Y,1,1,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,1,1,Y,0,1,N,0,0,Y
40018015,1,1,Y,0,0,Y,0,0,Y,0,1,N,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,1,0,N,0,0,Y,0,0,Y
40018031,1,0,N,0,0,Y,0,0,Y,1,1,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,1,0,N,0,0,Y,1,1,Y,0,0,Y,1,1,Y,1,1,Y
40019006,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40019011,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40019012,1,1,Y,0,0,Y,0,0,Y,0,1,N,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,1,N,0,0,Y,0,0,Y
40019020,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40019027,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40019028,1,0,N,1,1,Y,0,0,Y,0,1,N,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y
40019029,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40020007,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,1,N,1,0,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40020012a,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40020012b,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40020012c,1,1,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40020023,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y
40021016,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40021042a,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40021042b,1,1,Y,0,0,Y,0,0,Y,0,1,N,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,0,N
40022004,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40022031,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y
40022034,1,1,Y,0,0,Y,0,0,Y,0,1,N,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y
40023023,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,1,0,N,0,0,Y,0,1,N,0,0,Y,0,1,N,1,0,N,0,1,N,0,0,Y,0,0,Y,0,0,Y
40023030,0,1,N,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,1,1,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,1,N,0,1,N
40024043a,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,1,N,0,0,Y
40024043b,0,1,N,0,0,Y,1,0,N,0,1,N,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,1,1,Y,0,1,N,0,0,Y
40024043c,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,1,N,0,0,Y,0,0,Y,1,1,Y,1,1,Y,0,0,Y,1,0,N,0,0,Y,1,1,Y,1,1,Y,0,1,N,1,1,Y
40025021,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y
40025027a,1,1,Y,0,0,Y,0,0,Y,0,1,N,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,1,1,Y,1,1,Y,0,1,N,0,0,Y
40025027b,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,1,1,Y,1,1,Y,0,1,N,0,0,Y
40026001,0,0,Y,0,0,Y,1,1,Y,0,1,N,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y
40026009,1,1,Y,0,0,Y,0,0,Y,0,1,N,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,1,1,Y,1,1,Y,0,1,N,1,1,Y
40026024a,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,1,N,0,0,Y
40026024b,1,1,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,1,1,Y,0,0,Y,1,0,N,0,0,Y,1,0,N,1,1,Y,1,1,Y,1,1,Y
40026047,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y
40026056,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40026065,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40027004,1,0,N,0,0,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40027019,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y
40027023,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40027046,1,1,Y,0,0,Y,0,0,Y,0,1,N,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,1,0,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40027060,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y
40028005,1,1,Y,0,0,Y,0,0,Y,0,1,N,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y
40028006,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40028007a,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40028007b,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y
40028018,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y
40028020,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,1,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
41001015,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
41001024,0,0,Y,0,0,Y,0,0,Y,0,1,N,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,1,0,N,0,1,N,0,0,Y,0,0,Y
41002012,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y
41002017,0,0,Y,1,1,Y,0,0,Y,0,1,N,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
41003021,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
41003026,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,1,1,Y,0,1,N,0,0,Y,0,0,Y
41004015a,1,0,N,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,1,1,Y,1,0,N,0,0,Y,0,0,Y
41004015b,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y
41004016,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,1,1,Y,1,0,N,0,0,Y,0,0,Y
41004018,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
